request_month,request_theme,request_count,total_votes,estimated_revenue_impact
2024-05,setup_templates,2,2,6650.03
2024-05,workflow_rules,1,4,8736.25
2024-05,invoice_self_serve,1,5,2480.74
2024-06,workflow_rules,1,5,5487.1
2024-06,setup_templates,1,1,3093.04
2024-06,audit_log,1,6,5961.35
2024-07,advanced_permissions,2,19,93431.75
2024-07,sso_role_templates,1,13,40096.76
2024-07,invoice_self_serve,1,2,1076.2
2024-07,custom_dashboard,1,4,4664.77
2024-07,bulk_actions,1,2,1712.18
2024-08,bulk_actions,2,9,11973.56
2024-08,workflow_rules,1,4,17816.47
2024-08,audit_log,1,9,31861.27
2024-08,advanced_permissions,1,10,27277.92
2024-09,custom_dashboard,2,4,4206.1
2024-09,sso_role_templates,1,7,50439.53
2024-10,crm_sync,3,34,96269.83
2024-10,custom_dashboard,2,5,6990.14
2024-10,workflow_rules,1,6,9043.09
2024-10,setup_templates,1,3,2857.23
2024-10,invoice_self_serve,1,5,4869.79
2024-10,audit_log,1,7,5206.25
2024-10,advanced_permissions,1,11,32944.86
2024-11,workflow_rules,2,10,14278.9
2024-11,setup_templates,2,8,2465.53
2024-11,invoice_self_serve,1,4,711.62
2024-11,custom_dashboard,1,5,1495.26
2024-11,bulk_actions,1,1,2405.0
2024-12,custom_dashboard,3,17,26043.84
2024-12,crm_sync,2,18,50719.43
2024-12,sso_role_templates,1,11,20224.05
2024-12,invoice_self_serve,1,1,1012.81
2024-12,audit_log,1,9,41693.97
2024-12,advanced_permissions,1,10,15499.7
2025-01,bulk_actions,2,5,2669.89
2025-01,workflow_rules,1,4,5007.09
2025-01,audit_log,1,8,6627.69
2025-01,advanced_permissions,1,7,12998.26
2025-02,bulk_actions,3,7,11418.81
2025-02,audit_log,2,20,136336.9
2025-02,workflow_rules,1,10,7395.55
2025-02,sso_role_templates,1,10,26533.92
2025-02,setup_templates,1,3,1164.39
2025-02,custom_dashboard,1,7,2302.77
2025-02,advanced_permissions,1,8,21054.92
2025-03,bulk_actions,3,15,4930.81
2025-03,crm_sync,2,16,63916.78
2025-03,workflow_rules,1,6,5470.55
2025-03,setup_templates,1,4,1441.17
2025-04,setup_templates,2,6,3419.68
2025-04,invoice_self_serve,2,3,8012.96
2025-04,bulk_actions,2,4,4146.82
2025-04,workflow_rules,1,5,8726.73
2025-04,custom_dashboard,1,3,5318.04
2025-04,audit_log,1,11,44899.34
2025-05,audit_log,5,45,127153.69
2025-05,invoice_self_serve,3,12,5725.06
2025-05,custom_dashboard,3,10,6365.79
2025-05,crm_sync,3,21,121498.3
2025-05,workflow_rules,2,12,20014.31
2025-05,bulk_actions,2,9,5733.29
2025-06,custom_dashboard,6,15,18303.27
2025-06,bulk_actions,2,8,12428.3
2025-06,audit_log,2,12,34508.78
2025-06,workflow_rules,1,6,9677.28
2025-06,advanced_permissions,1,10,41543.82
2025-07,bulk_actions,6,21,38707.02
2025-07,invoice_self_serve,3,12,5079.78
2025-07,custom_dashboard,3,14,11788.82
2025-07,advanced_permissions,2,20,29994.75
2025-07,sso_role_templates,1,10,13165.77
2025-07,setup_templates,1,1,472.33
2025-07,crm_sync,1,8,19791.17
2025-08,bulk_actions,6,21,19793.92
2025-08,invoice_self_serve,4,12,5835.36
2025-08,custom_dashboard,4,19,27132.69
2025-08,setup_templates,2,7,4684.51
2025-08,audit_log,2,18,41055.95
2025-08,workflow_rules,1,8,14890.16
2025-08,sso_role_templates,1,13,32039.25
2025-08,advanced_permissions,1,7,60921.88
2025-09,invoice_self_serve,3,5,8338.69
2025-09,workflow_rules,2,9,13943.73
2025-09,crm_sync,2,15,68875.21
2025-09,advanced_permissions,2,17,109624.71
2025-09,sso_role_templates,1,11,34634.96
2025-09,setup_templates,1,5,1575.48
2025-09,custom_dashboard,1,1,907.1
2025-09,bulk_actions,1,6,6429.27
2025-09,audit_log,1,7,10575.46
2025-10,custom_dashboard,5,17,18499.77
2025-10,setup_templates,4,12,13284.08
2025-10,invoice_self_serve,2,5,1202.89
2025-10,sso_role_templates,1,9,12149.97
2025-10,bulk_actions,1,5,8912.23
2025-10,audit_log,1,9,30712.12
2025-11,custom_dashboard,5,20,36939.3
2025-11,bulk_actions,4,18,11071.93
2025-11,audit_log,4,35,109410.44
2025-11,invoice_self_serve,3,13,10164.31
2025-11,workflow_rules,1,8,6833.97
2025-11,crm_sync,1,11,48261.73
2025-12,bulk_actions,4,19,18069.37
2025-12,invoice_self_serve,2,3,3796.8
2025-12,custom_dashboard,2,10,6408.04
2025-12,workflow_rules,1,5,8770.51
2025-12,sso_role_templates,1,9,59854.95
2025-12,audit_log,1,12,27682.35
2025-12,advanced_permissions,1,8,71244.15
2026-01,sso_role_templates,4,44,119392.63
2026-01,crm_sync,2,23,69430.41
2026-01,audit_log,2,15,33817.06
2026-01,workflow_rules,1,10,7838.74
2026-01,setup_templates,1,4,1433.66
2026-01,invoice_self_serve,1,1,1003.85
2026-01,custom_dashboard,1,4,4000.43
2026-02,custom_dashboard,3,12,17535.78
2026-02,bulk_actions,3,8,7998.59
2026-02,advanced_permissions,2,25,67760.89
2026-02,sso_role_templates,1,9,44360.38
2026-02,crm_sync,1,12,25369.36
2026-02,audit_log,1,11,9099.03
2026-03,bulk_actions,25,113,131055.21
2026-03,custom_dashboard,18,73,125217.45
2026-03,invoice_self_serve,16,48,29063.79
2026-03,setup_templates,15,44,30350.55
2026-03,audit_log,12,84,247665.9
2026-03,workflow_rules,8,42,84287.6
2026-03,crm_sync,5,50,228661.45
2026-03,advanced_permissions,4,40,126696.04
2026-03,sso_role_templates,3,26,128373.02
